date,dir,entry,exit,result,r,pnl,equity,month
2025-12-31 06:35:00+00:00,SELL,71.4989,71.4815,EXIT_SMA,0.016,1.81,11035.87,2025-12
2025-12-31 09:20:00+00:00,SELL,71.0245,72.1466,SL,-1.0,-110.36,10925.51,2025-12
2025-12-31 15:15:00+00:00,BUY,73.3489,72.6048,SL,-1.0,-109.26,10816.25,2025-12
2025-12-31 20:30:00+00:00,SELL,70.6471,71.2454,EXIT_SMA,-0.73,-79.01,10737.24,2025-12
2026-01-02 00:20:00+00:00,BUY,72.1029,72.1679,EXIT_SMA,0.085,9.18,10746.42,2026-01
2026-01-02 05:00:00+00:00,BUY,73.4585,73.1915,EXIT_SMA,-0.722,-77.58,10668.84,2026-01
2026-01-02 14:00:00+00:00,SELL,73.9935,74.1256,EXIT_SMA,-0.405,-43.25,10625.59,2026-01
2026-01-02 14:45:00+00:00,SELL,73.3549,73.9406,EXIT_SMA,-0.524,-55.7,10569.9,2026-01
2026-01-02 17:10:00+00:00,SELL,72.897,72.4552,EXIT_SMA,0.557,58.84,10628.74,2026-01
2026-01-05 02:00:00+00:00,BUY,73.4343,75.3715,EXIT_SMA,2.422,257.46,10886.19,2026-01
2026-01-05 13:00:00+00:00,SELL,75.5476,75.264,EXIT_SMA,0.377,41.0,10927.2,2026-01
2026-01-05 16:25:00+00:00,BUY,76.4428,76.8597,EXIT_SMA,0.346,37.78,10964.98,2026-01
2026-01-06 00:15:00+00:00,SELL,75.9661,76.3382,EXIT_SMA,-0.459,-50.37,10914.61,2026-01
2026-01-06 04:40:00+00:00,BUY,77.7772,78.5683,EXIT_SMA,1.266,138.19,11052.79,2026-01
2026-01-06 05:45:00+00:00,BUY,79.2417,78.769,SL,-1.0,-110.53,10942.27,2026-01
2026-01-06 11:00:00+00:00,SELL,77.9515,77.9408,EXIT_SMA,0.039,4.23,10946.49,2026-01
2026-01-06 18:25:00+00:00,BUY,80.3932,80.7738,EXIT_SMA,0.435,47.62,10994.11,2026-01
2026-01-07 01:00:00+00:00,BUY,81.278,81.9122,EXIT_SMA,1.211,133.09,11127.2,2026-01
2026-01-07 02:25:00+00:00,SELL,80.8916,80.9464,EXIT_SMA,-0.03,-3.31,11123.89,2026-01
2026-01-07 05:20:00+00:00,SELL,79.7132,80.0562,EXIT_SMA,-0.318,-35.38,11088.51,2026-01
2026-01-07 07:05:00+00:00,SELL,79.0352,79.098,EXIT_SMA,-0.06,-6.61,11081.9,2026-01
2026-01-07 14:50:00+00:00,SELL,77.692,77.415,EXIT_SMA,0.215,23.86,11105.76,2026-01
2026-01-08 01:05:00+00:00,SELL,78.03,78.6002,SL,-1.0,-111.06,10994.7,2026-01
2026-01-08 06:35:00+00:00,SELL,77.1077,76.4487,EXIT_SMA,0.976,107.32,11102.03,2026-01
2026-01-08 13:25:00+00:00,SELL,75.0595,75.1376,EXIT_SMA,-0.112,-12.4,11089.62,2026-01
2026-01-08 14:45:00+00:00,SELL,74.1558,74.737,EXIT_SMA,-0.762,-84.54,11005.09,2026-01
2026-01-08 23:30:00+00:00,BUY,76.7464,76.8428,EXIT_SMA,0.153,16.78,11021.87,2026-01
2026-01-09 01:40:00+00:00,SELL,76.18,76.1887,EXIT_SMA,-0.019,-2.11,11019.76,2026-01
2026-01-09 03:00:00+00:00,BUY,77.295,76.6392,EXIT_SMA,-0.782,-86.17,10933.59,2026-01
2026-01-12 01:55:00+00:00,BUY,80.4005,82.9135,EXIT_SMA,4.796,524.35,11457.95,2026-01
2026-01-12 07:00:00+00:00,BUY,84.269,84.2075,EXIT_SMA,-0.062,-7.07,11450.88,2026-01
2026-01-12 14:00:00+00:00,BUY,84.818,84.585,EXIT_SMA,-0.272,-31.11,11419.76,2026-01
2026-01-13 00:15:00+00:00,SELL,83.618,84.3469,EXIT_SMA,-0.483,-55.11,11364.66,2026-01
2026-01-13 04:35:00+00:00,BUY,85.4254,85.5578,EXIT_SMA,0.126,14.31,11378.97,2026-01
2026-01-13 15:15:00+00:00,BUY,86.7782,87.8825,EXIT_SMA,1.057,120.33,11499.3,2026-01
2026-01-13 18:50:00+00:00,SELL,87.0498,87.7665,EXIT_SMA,-0.615,-70.77,11428.53,2026-01
2026-01-13 19:05:00+00:00,SELL,87.0455,87.43,EXIT_SMA,-0.47,-53.71,11374.82,2026-01
2026-01-13 21:20:00+00:00,SELL,86.7382,86.972,EXIT_SMA,-0.409,-46.51,11328.31,2026-01
2026-01-14 03:20:00+00:00,BUY,88.4981,89.5924,EXIT_SMA,2.539,287.57,11615.88,2026-01
2026-01-14 05:15:00+00:00,BUY,90.7589,90.6924,EXIT_SMA,-0.061,-7.13,11608.75,2026-01
2026-01-14 08:40:00+00:00,SELL,89.4838,90.0011,SL,-1.0,-116.09,11492.66,2026-01
2026-01-14 13:30:00+00:00,BUY,91.3955,91.3287,EXIT_SMA,-0.074,-8.49,11484.17,2026-01
2026-01-15 04:15:00+00:00,SELL,89.9884,88.1845,EXIT_SMA,1.111,127.63,11611.81,2026-01
2026-01-15 11:40:00+00:00,BUY,91.0411,91.0036,EXIT_SMA,-0.062,-7.2,11604.6,2026-01
2026-01-15 14:30:00+00:00,SELL,88.3136,89.7654,SL,-1.0,-116.05,11488.56,2026-01
2026-01-16 01:00:00+00:00,SELL,90.8034,91.0104,EXIT_SMA,-0.15,-17.26,11471.3,2026-01
2026-01-16 03:15:00+00:00,SELL,89.9025,90.628,EXIT_SMA,-0.654,-75.06,11396.24,2026-01
2026-01-16 07:05:00+00:00,SELL,90.0776,90.9155,EXIT_SMA,-0.939,-107.0,11289.25,2026-01
2026-01-16 11:30:00+00:00,SELL,90.4037,90.9896,EXIT_SMA,-0.657,-74.14,11215.11,2026-01
2026-01-16 14:10:00+00:00,SELL,89.0452,89.2194,EXIT_SMA,-0.098,-10.96,11204.15,2026-01
2026-01-16 16:20:00+00:00,SELL,87.2766,88.747,EXIT_SMA,-0.611,-68.51,11135.64,2026-01
2026-01-18 23:25:00+00:00,BUY,90.0786,93.3446,TP,10.0,1113.56,12249.2,2026-01
2026-01-19 01:30:00+00:00,BUY,93.6494,93.1363,EXIT_SMA,-0.431,-52.79,12196.41,2026-01
2026-01-20 01:00:00+00:00,SELL,93.1802,93.8106,EXIT_SMA,-0.83,-101.22,12095.19,2026-01
2026-01-20 03:20:00+00:00,SELL,93.155,93.2978,EXIT_SMA,-0.182,-22.05,12073.14,2026-01
