stage,stage_trades,stage_win_rate,stage_exp_R,stage_total_R,stage_roi_pct,stage_cagr_pct,stage_max_dd_pct,stage_cagr_dd,stage_sharpe_daily,stage_pf,stage_streak,stage_h1_R,stage_h2_R,stage_worst_R,base_trades,base_win_rate,base_exp_R,base_total_R,base_roi_pct,base_cagr_pct,base_max_dd_pct,base_cagr_dd,base_sharpe_daily,base_pf,base_streak,base_h1_R,base_h2_R,base_worst_R,d_roi,d_dd,d_totR,paired_n,changed,mean_dR,t,ci_lo,ci_hi,significant,config
lock 2.0R->+0.25R cd90m,291,34.4,0.0771,22.4,20.19,6.41,-34.14,0.19,0.45,1.12,12,-0.022,0.1754,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-15.09,-12.52,-12.3,229,23,-0.0317,-0.76,-0.1129,0.0496,False,incumbent
lock 2.0R->+0.5R cd0m,299,36.5,0.1444,43.2,47.67,14.06,-21.53,0.65,0.88,1.23,12,-0.0432,0.3307,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,12.39,0.09,8.5,251,32,0.0159,0.37,-0.0683,0.1002,False,incumbent
lock 2.0R->+0.5R cd90m,297,34.7,0.0881,26.2,24.78,7.76,-32.14,0.24,0.53,1.13,12,-0.03,0.2054,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-10.5,-10.52,-8.5,231,25,-0.0108,-0.25,-0.0942,0.0726,False,incumbent
lock 2.0R->+0.75R cd0m,306,36.6,0.1583,48.4,55.56,16.08,-22.25,0.72,0.98,1.25,12,0.0184,0.2981,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,20.28,-0.63,13.7,251,35,0.0209,0.45,-0.07,0.1119,False,incumbent
lock 2.0R->+0.75R cd90m,302,35.1,0.0941,28.4,27.68,8.6,-30.27,0.28,0.58,1.14,12,0.0054,0.1829,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-7.6,-8.65,-6.3,229,29,-0.0055,-0.12,-0.0974,0.0864,False,incumbent
lock 2.0R->+1.0R cd0m,316,35.8,0.1092,34.5,35.58,10.82,-20.55,0.53,0.7,1.17,12,0.0321,0.1863,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,0.3,1.07,-0.2,247,42,0.0,0.0,-0.1031,0.1031,False,incumbent
lock 2.0R->+1.0R cd90m,320,33.8,0.0328,10.5,6.84,2.26,-31.63,0.07,0.21,1.05,12,0.0067,0.059,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-28.44,-10.01,-24.2,234,38,-0.0342,-0.65,-0.1376,0.0692,False,incumbent
lock 2.0R->+1.5R cd0m,314,37.3,0.18,56.5,68.95,19.37,-17.05,1.14,1.13,1.28,12,0.0928,0.2671,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,33.67,4.57,21.8,241,48,0.0332,0.58,-0.0785,0.1449,False,incumbent
lock 2.0R->+1.5R cd90m,325,34.2,0.08,26.0,24.64,7.72,-28.31,0.27,0.53,1.12,12,0.0344,0.1254,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-10.64,-6.69,-8.7,231,44,0.0087,0.15,-0.1012,0.1185,False,incumbent
lock 2.5R->+0.0R cd0m,273,28.2,0.1636,44.7,49.67,14.58,-18.12,0.81,0.89,1.24,12,-0.0289,0.3548,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,14.39,3.5,10.0,265,11,0.0264,1.61,-0.0057,0.0586,False,incumbent
lock 2.5R->+0.0R cd90m,260,28.1,0.1564,40.7,44.12,13.13,-17.68,0.74,0.83,1.23,12,-0.0841,0.397,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,8.84,3.94,6.0,235,9,0.0213,1.21,-0.0131,0.0556,False,incumbent
lock 2.5R->+0.25R cd0m,274,32.5,0.1637,44.8,49.99,14.67,-17.61,0.83,0.9,1.24,12,-0.0275,0.3548,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,14.71,4.01,10.1,262,13,0.0159,0.67,-0.0303,0.0622,False,incumbent
lock 2.5R->+0.25R cd90m,262,32.1,0.1511,39.6,42.62,12.73,-17.27,0.74,0.81,1.22,12,-0.0535,0.3558,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,7.34,4.35,4.9,235,11,0.0071,0.28,-0.0423,0.0566,False,incumbent
lock 2.5R->+0.5R cd0m,278,32.7,0.1787,49.7,57.31,16.52,-17.2,0.96,1.0,1.26,12,-0.0211,0.3785,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,22.03,4.42,15.0,262,13,0.0286,1.17,-0.0194,0.0766,False,incumbent
lock 2.5R->+0.5R cd90m,263,32.3,0.1642,43.2,47.8,14.1,-16.85,0.84,0.88,1.24,12,-0.0644,0.391,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,12.52,4.77,8.5,236,11,0.0191,0.74,-0.0313,0.0695,False,incumbent
lock 2.5R->+0.75R cd0m,281,33.1,0.199,55.9,67.33,18.98,-18.6,1.02,1.11,1.3,12,0.0112,0.3855,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,32.05,3.02,21.2,262,14,0.0324,1.19,-0.0209,0.0858,False,incumbent
lock 2.5R->+0.75R cd90m,264,32.6,0.1787,47.2,53.8,15.64,-16.85,0.93,0.96,1.26,12,-0.0317,0.3891,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,18.52,4.77,12.5,236,12,0.0212,0.75,-0.0344,0.0768,False,incumbent
lock 2.5R->+1.0R cd0m,284,32.0,0.1573,44.7,49.69,14.59,-19.94,0.73,0.9,1.23,12,0.0075,0.3071,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,14.41,1.68,10.0,262,16,0.0305,1.0,-0.0293,0.0904,False,incumbent
lock 2.5R->+1.0R cd90m,268,33.2,0.1966,52.7,62.41,17.79,-17.13,1.04,1.06,1.29,12,-0.007,0.4001,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,27.13,4.49,18.0,237,15,0.0253,0.77,-0.0388,0.0894,False,incumbent
lock 2.5R->+1.5R cd0m,283,32.2,0.1649,46.7,52.81,15.39,-19.15,0.8,0.94,1.24,12,0.0146,0.3142,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,17.53,2.47,12.0,256,21,0.0176,0.49,-0.0524,0.0875,False,incumbent
lock 2.5R->+1.5R cd90m,274,32.1,0.1594,43.7,48.53,14.29,-18.24,0.78,0.89,1.23,12,-0.0324,0.3512,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,13.25,3.38,9.0,231,20,0.0087,0.23,-0.0659,0.0833,False,incumbent
BE 0.25R->-0.3R,375,15.7,-0.0065,-2.4,-5.58,-1.92,-31.42,-0.06,-0.06,0.99,31,-0.128,0.1144,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-40.86,-9.8,-37.1,250,122,-0.0412,-0.58,-0.1795,0.0972,False,incumbent
BE 0.25R->-0.2R,382,15.2,0.0284,10.9,7.94,2.61,-27.17,0.1,0.24,1.07,32,-0.1117,0.1686,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-27.34,-5.55,-23.8,250,125,-0.0152,-0.21,-0.1582,0.1279,False,incumbent
BE 0.25R->-0.1R,393,13.0,0.007,2.8,-0.16,-0.05,-31.71,-0.0,0.06,1.02,41,-0.1573,0.1706,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-35.44,-10.09,-31.9,245,128,-0.0355,-0.45,-0.1915,0.1206,False,incumbent
BE 0.25R->0.0R,409,12.0,0.0333,13.6,11.39,3.71,-27.48,0.14,0.33,1.1,43,-0.1195,0.1854,-1.0,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-23.89,-5.86,-21.1,242,130,-0.0374,-0.44,-0.2029,0.1281,False,incumbent
BE 0.5R->-0.3R,343,19.2,0.0424,14.6,11.46,3.73,-23.07,0.16,0.31,1.08,18,-0.0811,0.1652,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-23.82,-1.45,-20.1,246,86,-0.048,-0.78,-0.1687,0.0728,False,incumbent
BE 0.5R->-0.2R,354,18.4,0.0549,19.5,17.12,5.48,-21.83,0.25,0.41,1.11,20,-0.0766,0.1865,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-18.16,-0.21,-15.2,248,89,-0.0355,-0.56,-0.1604,0.0894,False,incumbent
BE 0.5R->-0.1R,358,16.5,0.0311,11.2,8.08,2.66,-26.32,0.1,0.24,1.07,23,-0.1193,0.1816,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-27.2,-4.7,-23.5,245,91,-0.0576,-0.83,-0.1927,0.0776,False,incumbent
BE 0.5R->0.0R,366,16.4,0.0836,30.6,31.27,9.62,-23.54,0.41,0.67,1.2,24,-0.0874,0.2547,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-4.01,-1.92,-4.1,235,92,-0.0471,-0.64,-0.1924,0.0982,False,incumbent
