symbol,timeframe,di_threshold,rr,di_persist,spread,period,di_slope,adx_rising,adx_min,atr_ratio,avoid_hours,filters,trades,win_rate,roi,sharpe,max_dd
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,0.0,"[21, 22, 23]","di_slope, adx_rising, adx_min=20, avoid=[21, 22, 23]",102,31.4,27.43,1.99,-7.94
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,25.0,1.0,"[7, 8]","adx_min=25, atr_ratio=1.0, avoid=[7, 8]",82,31.7,22.84,1.98,-11.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,15.0,0.0,"[7, 8]","di_slope, adx_min=15, avoid=[7, 8]",93,31.2,23.86,1.98,-8.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,0.0,0.0,"[7, 8, 21, 22, 23]","di_slope, adx_rising, avoid=[7, 8, 21, 22, 23]",90,31.1,22.69,1.98,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,15.0,1.0,[7],"adx_min=15, atr_ratio=1.0, avoid=[7]",86,31.4,22.77,1.97,-10.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,0.0,[7],"adx_rising, adx_min=20, avoid=[7]",113,31.9,33.67,1.97,-13.28
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,0.0,"[7, 8, 21, 22, 23]","di_slope, avoid=[7, 8, 21, 22, 23]",90,31.1,22.69,1.97,-9.56
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,0.0,"[21, 22, 23]","di_slope, adx_min=25, avoid=[21, 22, 23]",80,31.2,20.47,1.95,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,0.0,"[7, 21, 22, 23]","di_slope, adx_min=25, avoid=[7, 21, 22, 23]",80,31.2,20.47,1.95,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,0.0,0.0,,"di_slope, adx_rising",100,31.0,24.96,1.95,-8.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,15.0,1.0,[7],"di_slope, adx_rising, adx_min=15, atr_ratio=1.0, avoid=[7]",74,31.1,18.21,1.94,-11.47
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,20.0,1.0,,"adx_min=20, atr_ratio=1.0",92,31.5,25.11,1.91,-13.38
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,0.0,[7],"di_slope, avoid=[7]",97,30.9,23.79,1.91,-8.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,1.0,,"adx_rising, adx_min=15, atr_ratio=1.0",83,31.3,21.61,1.9,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,1.0,"[7, 21, 22, 23]","di_slope, atr_ratio=1.0, avoid=[7, 21, 22, 23]",74,31.1,18.21,1.9,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,0.0,0.0,"[0, 1, 2, 3, 4, 5]","adx_rising, avoid=[0, 1, 2, 3, 4, 5]",96,31.2,25.04,1.89,-10.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,0.0,1.2,"[7, 21, 22, 23]","adx_rising, atr_ratio=1.2, avoid=[7, 21, 22, 23]",65,30.8,14.9,1.86,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,0.0,1.2,"[7, 8, 20, 21, 22, 23]","adx_rising, atr_ratio=1.2, avoid=[7, 8, 20, 21, 22, 23]",65,30.8,14.9,1.86,-9.83
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,1.2,"[7, 21, 22, 23]","adx_rising, adx_min=15, atr_ratio=1.2, avoid=[7, 21, 22, 23]",65,30.8,14.9,1.86,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,1.2,"[7, 8, 20, 21, 22, 23]","adx_rising, adx_min=15, atr_ratio=1.2, avoid=[7, 8, 20, 21, 22, 23]",65,30.8,14.9,1.86,-9.83
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,0.0,"[20, 21, 22, 23]","di_slope, adx_rising, adx_min=20, avoid=[20, 21, 22, 23]",100,31.0,24.96,1.86,-7.94
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,25.0,0.0,"[7, 8]","adx_rising, adx_min=25, avoid=[7, 8]",99,31.3,26.23,1.85,-13.33
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,0.0,"[0, 1, 2, 3, 4, 5]","di_slope, adx_min=20, avoid=[0, 1, 2, 3, 4, 5]",104,30.8,24.89,1.85,-8.7
