Strategy,Entry_Time,Exit_Time,Direction,PnL,Balance,Exit_Reason,PnL_Pct
SilverMomentum,2026-01-14 19:00:00+00:00,2026-01-15 01:25:00+00:00,BUY,-7.649224849120517,366.5129320986747,STOP_LOSS,-2.124784680311255
SilverMomentum,2026-01-15 16:00:00+00:00,2026-01-16 13:25:00+00:00,BUY,-7.454007981792005,359.0589241168827,STOP_LOSS,-2.0705577727200013
SilverSniper,2026-01-19 05:30:00+00:00,2026-01-19 08:40:00+00:00,BUY,-8.04181488984601,351.01710922703666,STOP_LOSS,-2.2338374694016694
SilverSniper,2026-01-22 02:55:00+00:00,2026-01-22 15:25:00+00:00,BUY,20.377897648235148,371.3950068752718,TAKE_PROFIT,5.6605271245097635
SilverSniper,2026-01-22 23:00:00+00:00,2026-01-23 01:20:00+00:00,BUY,21.393459732850072,392.7884666081219,TAKE_PROFIT,5.942627703569465
SilverMomentum,2026-01-23 13:00:00+00:00,2026-01-25 23:00:00+00:00,BUY,19.35805753532119,412.14652414344306,TAKE_PROFIT,5.377238204255886
SilverMomentum,2026-01-23 16:00:00+00:00,2026-01-25 23:05:00+00:00,BUY,19.36797711081212,431.51450125425515,TAKE_PROFIT,5.379993641892256
SilverSniper,2026-01-26 05:35:00+00:00,2026-01-26 05:55:00+00:00,SELL,-9.404778600095565,422.1097226541596,STOP_LOSS,-2.612438500026546
SilverSniper,2026-01-26 11:15:00+00:00,2026-01-26 11:50:00+00:00,SELL,-9.109515977963746,413.0002066761959,STOP_LOSS,-2.5304211049899292
SilverSniper,2026-01-28 00:50:00+00:00,2026-01-28 09:20:00+00:00,BUY,-8.623493424687755,404.37671325150814,STOP_LOSS,-2.395414840191043
DailyORB,2026-01-27 20:45:00+00:00,2026-01-28 20:45:00+00:00,BUY,20.368266599481757,424.7449798509899,TAKE_PROFIT,5.657851833189377
SilverMomentum,2026-01-28 21:00:00+00:00,2026-01-29 15:15:00+00:00,BUY,-8.626386023761173,416.1185938272287,STOP_LOSS,-2.396218339933659
SilverSniper,2026-01-30 05:55:00+00:00,2026-01-30 07:35:00+00:00,SELL,24.553376656181957,440.6719704834107,TAKE_PROFIT,6.820382404494987
DailyORB,2026-01-30 02:15:00+00:00,2026-01-30 08:40:00+00:00,SELL,20.61621508778529,461.288185571196,TAKE_PROFIT,5.726726413273691
DailyORB,2026-01-30 16:15:00+00:00,2026-01-30 17:45:00+00:00,SELL,22.89770898984005,484.18589456103604,TAKE_PROFIT,6.360474719400014
SilverSniper,2026-02-02 02:55:00+00:00,2026-02-02 05:45:00+00:00,SELL,28.839159812372376,513.0250543734085,TAKE_PROFIT,8.010877725658993
DailyORB,2026-02-03 17:00:00+00:00,2026-02-04 01:10:00+00:00,SELL,-10.5609167151661,502.46413765824235,STOP_LOSS,-2.9335879764350277
DailyORB,2026-02-04 15:15:00+00:00,2026-02-04 16:45:00+00:00,SELL,24.801846973094257,527.2659846313366,TAKE_PROFIT,6.889401936970627
DailyORB,2026-02-05 02:00:00+00:00,2026-02-05 02:05:00+00:00,SELL,-10.808223856379508,516.457760774957,STOP_LOSS,-3.0022844045498633
DailyORB,2026-02-05 12:00:00+00:00,2026-02-05 15:45:00+00:00,SELL,25.564893196799986,542.022653971757,TAKE_PROFIT,7.10135922133333
SilverSniper,2026-02-05 18:10:00+00:00,2026-02-05 18:20:00+00:00,SELL,-11.367119526055005,530.655534445702,STOP_LOSS,-3.157533201681946
SilverSniper,2026-02-09 04:30:00+00:00,2026-02-09 06:35:00+00:00,BUY,-11.88481309418852,518.7707213515134,STOP_LOSS,-3.3013369706079225
DailyORB,2026-02-09 13:15:00+00:00,2026-02-09 14:30:00+00:00,SELL,-10.853466206606356,507.9172551449071,STOP_LOSS,-3.014851724057321
DailyORB,2026-02-09 23:00:00+00:00,2026-02-09 23:05:00+00:00,SELL,-10.69340431178452,497.2238508331226,STOP_LOSS,-2.9703900866068107
SilverMomentum,2026-02-09 16:00:00+00:00,2026-02-10 16:05:00+00:00,BUY,-10.317051142742532,486.90679969038007,STOP_LOSS,-2.8658475396507033
