rr,di,persist,adx_min,adx_rising,atr_ratio,di_slope,avoid_hours,trades,wins,win_rate,roi,sharpe,max_dd,avg_r
4.0,35,3,0,False,1.2,True,plus20,15,8,53.3,27.56,10.04,-1.99,1.837
3.0,35,3,30,True,1.2,True,eu_open,12,7,58.3,16.96,10.03,-1.99,1.413
3.0,35,3,30,False,1.2,True,eu_open,12,7,58.3,16.96,10.03,-1.99,1.413
4.0,35,3,25,False,1.2,True,none,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,False,1.2,True,plus6,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,True,1.2,True,plus6,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,True,1.2,True,long_london,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,False,1.2,True,long_london,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,True,1.2,True,none,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,True,1.2,True,current,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,False,1.2,True,current,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,False,1.2,True,plus9,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,3,25,True,1.2,True,plus9,15,8,53.3,27.56,9.99,-1.99,1.837
4.0,35,2,30,True,1.2,True,eu_open,15,8,53.3,27.56,9.94,-3.94,1.837
4.0,35,2,30,False,1.2,True,eu_open,15,8,53.3,27.56,9.94,-3.94,1.837
4.0,35,3,0,False,1.2,True,deep_prelondon,15,8,53.3,27.56,9.92,-1.99,1.837
4.0,35,3,0,True,1.2,True,deep_prelondon,15,8,53.3,27.56,9.92,-1.99,1.837
4.0,35,3,20,True,1.2,True,deep_prelondon,15,8,53.3,27.56,9.92,-1.99,1.837
4.0,35,3,20,False,1.2,True,deep_prelondon,15,8,53.3,27.56,9.92,-1.99,1.837
4.0,35,2,30,True,1.2,True,none,17,9,52.9,31.34,9.85,-2.97,1.843
4.0,35,2,30,True,1.2,True,deep_prelondon,17,9,52.9,31.34,9.85,-2.97,1.843
4.0,35,2,30,False,1.2,True,deep_prelondon,17,9,52.9,31.34,9.85,-2.97,1.843
4.0,35,2,30,False,1.2,True,none,17,9,52.9,31.34,9.85,-2.97,1.843
3.0,35,3,20,True,1.2,True,eu_open,14,8,57.1,19.26,9.63,-2.97,1.376
3.0,35,3,0,False,1.2,True,eu_open,14,8,57.1,19.26,9.63,-2.97,1.376
3.0,35,3,20,False,1.2,True,eu_open,14,8,57.1,19.26,9.63,-2.97,1.376
3.0,35,3,0,True,1.2,True,eu_open,14,8,57.1,19.26,9.63,-2.97,1.376
2.5,35,3,30,False,1.2,True,none,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,False,1.2,True,current,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,False,1.2,True,plus6,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,False,1.2,True,deep_prelondon,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,False,1.2,True,plus9,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,False,1.2,True,long_london,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,True,1.2,True,deep_prelondon,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,True,1.2,True,plus6,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,True,1.2,True,long_london,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,True,1.2,True,plus9,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,True,1.2,True,current,15,9,60.0,17.58,9.56,-1.99,1.172
2.5,35,3,30,True,1.2,True,none,15,9,60.0,17.58,9.56,-1.99,1.172
3.0,35,3,25,False,1.2,True,long_london,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,True,1.2,True,none,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,True,1.2,True,plus6,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,True,1.2,True,current,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,False,1.2,True,plus9,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,True,1.2,True,long_london,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,True,1.2,True,plus9,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,False,1.2,True,none,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,False,1.2,True,plus6,16,9,56.2,21.61,9.53,-1.0,1.351
3.0,35,3,25,False,1.2,True,current,16,9,56.2,21.61,9.53,-1.0,1.351
1.5,35,3,30,False,1.2,True,eu_open,13,9,69.2,9.83,9.49,-1.0,0.756
1.5,35,3,30,True,1.2,True,eu_open,13,9,69.2,9.83,9.49,-1.0,0.756
3.0,35,3,0,False,1.2,True,deep_prelondon,16,9,56.2,21.61,9.47,-1.99,1.351
3.0,35,3,0,True,1.2,True,deep_prelondon,16,9,56.2,21.61,9.47,-1.99,1.351
3.0,35,3,20,True,1.2,True,deep_prelondon,16,9,56.2,21.61,9.47,-1.99,1.351
3.0,35,3,20,False,1.2,True,deep_prelondon,16,9,56.2,21.61,9.47,-1.99,1.351
3.5,35,3,25,True,1.2,True,eu_open,13,7,53.8,19.78,9.45,-1.99,1.522
3.5,35,3,25,False,1.2,True,eu_open,13,7,53.8,19.78,9.45,-1.99,1.522
3.5,35,2,25,False,1.2,True,plus20,17,9,52.9,25.76,9.43,-1.99,1.515
3.5,35,2,25,True,1.2,True,plus20,17,9,52.9,25.76,9.43,-1.99,1.515
2.5,35,2,30,True,1.2,True,plus20,17,10,58.8,19.31,9.39,-2.97,1.136
2.5,35,2,30,False,1.2,True,plus20,17,10,58.8,19.31,9.39,-2.97,1.136
1.5,35,3,30,True,1.2,True,plus20,16,11,68.8,12.02,9.37,-1.99,0.751
1.5,35,3,30,False,1.2,True,plus20,16,11,68.8,12.02,9.37,-1.99,0.751
2.5,35,3,0,False,1.2,True,plus20,17,10,58.8,19.31,9.3,-2.97,1.136
2.5,35,3,0,True,1.2,True,plus20,17,10,58.8,19.31,9.3,-2.97,1.136
2.5,35,3,20,False,1.2,True,plus20,17,10,58.8,19.31,9.3,-2.97,1.136
2.5,35,3,20,True,1.2,True,plus20,17,10,58.8,19.31,9.3,-2.97,1.136
3.5,35,3,0,True,1.2,True,long_london,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,False,1.2,True,none,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,False,1.2,True,current,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,False,1.2,True,plus9,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,True,1.2,True,plus9,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,True,1.2,True,plus6,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,2,30,False,1.2,True,eu_open,15,8,53.3,22.74,9.29,-3.94,1.516
3.5,35,3,20,True,1.2,True,none,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,True,1.2,True,current,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,True,1.2,True,plus6,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,True,1.2,True,long_london,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,False,1.2,True,long_london,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,True,1.2,True,current,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,20,False,1.2,True,plus6,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,False,1.2,True,current,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,True,1.2,True,none,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,2,30,True,1.2,True,none,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,False,1.2,True,none,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,True,1.2,True,plus9,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,False,1.2,True,plus9,17,9,52.9,25.76,9.29,-1.99,1.515
