di_threshold,di_persist,adx_min,adx_rising,atr_ratio_min,di_slope,di_spread_min,body_ratio_min,avoid,sma_ordered,rsi_filter,target_rr,fit_trades,fit_win_rate,fit_exp_R,fit_total_R,fit_roi_pct,fit_cagr_pct,fit_max_dd_pct,fit_cagr_dd,fit_sharpe_daily,fit_pf,fit_streak,fit_h1_R,fit_h2_R,fit_worst_R,oos_trades,oos_win_rate,oos_exp_R,oos_total_R,oos_roi_pct,oos_cagr_pct,oos_max_dd_pct,oos_cagr_dd,oos_sharpe_daily,oos_pf,oos_streak,oos_h1_R,oos_h2_R,oos_worst_R,all_trades,all_win_rate,all_exp_R,all_total_R,all_roi_pct,all_cagr_pct,all_max_dd_pct,all_cagr_dd,all_sharpe_daily,all_pf,all_streak,all_h1_R,all_h2_R,all_worst_R
30.0,1,20.0,False,1.2,True,0.0,0.0,none,True,False,3.5,221,24.0,0.0787,17.4,14.3,6.04,-23.06,0.26,0.4,1.1,13,0.2263,-0.0676,-1.11,81,23.5,0.0487,3.9,2.52,3.71,-13.39,0.28,0.28,1.06,11,0.2236,-0.122,-1.39,302,23.8,0.0706,21.3,17.18,5.5,-23.06,0.24,0.37,1.09,13,0.1317,0.0096,-1.39
30.0,1,20.0,False,1.2,True,0.0,0.0,none,True,True,2.5,241,25.7,-0.1,-24.1,-23.6,-11.13,-31.2,-0.36,-0.65,0.87,12,-0.0384,-0.1612,-1.11,78,29.5,0.0321,2.5,1.53,2.25,-9.3,0.24,0.21,1.05,6,0.0769,-0.0128,-1.0,319,26.6,-0.0677,-21.6,-22.43,-8.22,-31.2,-0.26,-0.44,0.91,12,-0.0762,-0.0594,-1.11
30.0,1,20.0,False,1.2,True,0.0,0.0,none,True,True,3.0,219,24.2,-0.0325,-7.1,-9.78,-4.41,-29.53,-0.15,-0.18,0.96,15,0.0999,-0.1636,-1.11,74,24.3,-0.027,-2.0,-3.03,-4.41,-14.15,-0.31,-0.15,0.96,9,0.1892,-0.2432,-1.0,293,24.2,-0.0311,-9.1,-12.51,-4.41,-29.53,-0.15,-0.18,0.96,15,0.0129,-0.0748,-1.11
30.0,1,20.0,False,1.2,True,0.0,0.0,none,True,True,3.5,207,21.3,-0.044,-9.1,-11.81,-5.36,-29.74,-0.18,-0.23,0.94,19,0.0475,-0.1346,-1.11,73,23.3,0.0479,3.5,2.22,3.28,-12.89,0.25,0.26,1.06,9,0.25,-0.1486,-1.0,280,21.8,-0.02,-5.6,-9.85,-3.44,-29.74,-0.12,-0.11,0.97,19,0.0599,-0.1,-1.11
30.0,1,20.0,False,1.2,True,20.0,0.0,none,False,False,2.5,307,26.7,-0.0662,-20.3,-21.32,-9.98,-38.39,-0.26,-0.52,0.91,16,-0.1785,0.0455,-1.2,105,28.6,-0.0053,-0.6,-1.85,-2.7,-14.22,-0.19,-0.04,0.99,12,-0.0684,0.0566,-1.39,412,27.2,-0.0507,-20.9,-22.77,-8.35,-38.39,-0.22,-0.39,0.93,16,-0.186,0.0847,-1.39
30.0,1,20.0,False,1.2,True,20.0,0.0,none,False,False,3.0,267,22.5,-0.1014,-27.1,-26.5,-12.63,-32.85,-0.38,-0.71,0.87,16,-0.1001,-0.1028,-1.2,101,25.7,0.0242,2.4,0.92,1.35,-13.38,0.1,0.16,1.03,12,-0.0512,0.098,-1.39,368,23.4,-0.067,-24.6,-25.83,-9.59,-32.85,-0.29,-0.47,0.91,16,-0.1756,0.0417,-1.39
30.0,1,20.0,False,1.2,True,20.0,0.0,none,False,False,3.5,232,20.3,-0.0897,-20.8,-21.78,-10.21,-33.24,-0.31,-0.51,0.89,16,-0.0717,-0.1078,-1.2,84,23.8,0.0629,5.3,3.83,5.67,-11.36,0.5,0.35,1.08,12,0.0544,0.0714,-1.39,316,21.2,-0.0491,-15.5,-18.78,-6.78,-33.24,-0.2,-0.27,0.94,16,-0.1476,0.0493,-1.39
30.0,1,20.0,False,1.2,True,20.0,0.0,none,False,True,2.5,274,27.0,-0.0559,-15.3,-16.97,-7.83,-30.64,-0.26,-0.39,0.92,17,-0.0315,-0.0803,-1.2,93,26.9,-0.0591,-5.5,-6.4,-9.24,-11.84,-0.78,-0.47,0.92,10,-0.087,-0.0319,-1.0,367,27.0,-0.0567,-20.8,-22.28,-8.16,-30.64,-0.27,-0.41,0.92,17,-0.1411,0.0272,-1.2
30.0,1,20.0,False,1.2,True,20.0,0.0,none,False,True,3.0,259,24.3,-0.0274,-7.1,-10.29,-4.65,-28.53,-0.16,-0.17,0.96,17,0.0828,-0.1367,-1.2,94,26.6,0.0638,6.0,4.65,6.9,-13.33,0.52,0.41,1.09,10,0.1915,-0.0638,-1.0,353,24.9,-0.0031,-1.1,-6.12,-2.11,-28.53,-0.07,-0.02,1.0,17,-0.0472,0.0408,-1.2
30.0,1,20.0,False,1.2,True,20.0,0.0,none,False,True,3.5,237,21.1,-0.052,-12.3,-15.0,-6.88,-27.56,-0.25,-0.29,0.93,16,-0.0493,-0.0546,-1.2,82,25.6,0.1524,12.5,11.56,17.4,-10.98,1.58,0.8,1.2,10,0.3171,-0.0122,-1.0,319,22.3,0.0006,0.2,-5.18,-1.78,-27.56,-0.06,0.0,1.0,16,-0.1246,0.125,-1.2
30.0,1,20.0,False,1.2,True,20.0,0.0,none,True,False,2.5,213,32.4,0.1338,28.5,29.25,11.91,-11.82,1.01,0.8,1.2,9,0.1226,0.1449,-1.0,79,32.9,0.1448,11.4,10.93,16.43,-10.47,1.57,0.91,1.21,11,0.0626,0.225,-1.39,292,32.5,0.1368,39.9,43.37,12.93,-11.82,1.09,0.83,1.2,11,0.0788,0.1948,-1.39
