strategy,tf,label,di,rr,persist,adx_min,adx_rising,di_slope,trades,win_rate,roi,sharpe,max_dd,pvt_threshold,pvt_consec
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,1.0,20.0,False,False,54,7.4,-17.69,-2.44,-24.29,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,0.0,True,False,54,7.4,-17.69,-2.46,-26.54,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,6.0,1.0,15.0,False,False,70,10.0,-20.17,-2.47,-30.08,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,6.0,1.0,0.0,False,False,70,10.0,-20.17,-2.48,-28.66,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,1.0,15.0,True,True,50,10.0,-14.86,-2.48,-25.43,,
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,93,19.4,-19.89,-2.49,-22.13,0.01,2.0
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,93,19.4,-19.89,-2.49,-22.13,0.01,3.0
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,93,19.4,-19.89,-2.49,-22.13,0.05,1.0
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,93,19.4,-19.89,-2.49,-22.13,0.1,1.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,4.0,1.0,20.0,True,True,94,14.9,-22.5,-2.49,-27.63,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,2.0,0.0,True,False,89,10.1,-24.39,-2.49,-33.37,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,1.0,20.0,True,True,81,9.9,-23.47,-2.53,-31.2,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,20.0,False,True,89,14.6,-22.43,-2.54,-31.04,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,20.0,True,False,86,15.1,-20.05,-2.55,-29.93,,
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,94,22.3,-19.36,-2.56,-22.4,0.01,1.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,2.0,20.0,True,False,69,7.2,-22.77,-2.56,-33.12,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,3.0,2.0,20.0,False,False,69,18.8,-16.35,-2.58,-24.17,,
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,94,19.1,-20.69,-2.59,-22.91,0.1,2.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,5.0,2.0,15.0,True,False,83,12.0,-21.79,-2.62,-28.75,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,2.0,20.0,True,False,91,9.9,-25.9,-2.63,-33.91,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,5.0,2.0,0.0,True,True,76,11.8,-20.88,-2.65,-29.46,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,0.0,False,False,56,7.1,-19.33,-2.67,-27.27,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,8.0,1.0,15.0,False,True,55,7.3,-18.51,-2.68,-20.66,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,8.0,2.0,0.0,False,True,57,7.0,-20.13,-2.71,-30.84,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,5.0,2.0,20.0,True,True,85,11.8,-23.35,-2.72,-30.66,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,0.0,False,True,83,14.5,-21.57,-2.74,-30.9,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,1.0,15.0,True,False,57,7.0,-20.13,-2.74,-26.54,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,8.0,1.0,0.0,True,True,56,7.1,-19.33,-2.8,-23.02,,
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,92,21.7,-20.53,-2.86,-22.4,0.05,3.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,2.0,0.0,True,True,74,9.5,-23.32,-2.88,-29.66,,
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,92,21.7,-20.53,-2.88,-22.4,0.05,2.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,5.0,2.0,0.0,True,True,102,11.8,-27.32,-2.89,-35.74,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,8.0,2.0,20.0,True,True,72,6.9,-25.07,-2.91,-35.11,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,8.0,1.0,0.0,False,True,57,7.0,-20.13,-2.92,-23.79,,
